GEOID20,District
36039000024,18
36039000039,18
36039000032,18
36039000013,18
36039000030,18
36039000028,18
36039000034,18
36039000033,18
36039000050,18
36039000001,18
36039000051,18
36039000042,18
36039000043,18
36039000047,18
36039000049,18
36039000035,18
36039000036,18
36039000037,18
36039000026,18
36039000007,18
36039000044,18
36039000038,18
36039000011,18
36039000006,18
36039000010,18
36039000009,18
36039000022,18
36039000021,18
36039000017,18
36039000015,18
36039000023,18
36039000029,18
36039000005,18
36039000002,18
36039000003,18
36039000004,18
36039000027,18
36039000018,18
36039000019,18
36039000025,18
36039000020,18
36039000048,18
36109000062,23
36109000055,23
36109000050,23
36109000052,23
36109000046,23
36109000058,23
36109000047,23
36109000053,23
36111000122,20
36111000123,20
36111000143,20
36111000153,20
36111000150,20
36111000051,20
36111000109,18
36111000075,20
36055000129,25
36055000127,25
36055000128,25
36055000141,25
36055000130,25
36055000144,25
36055000126,25
36055000124,25
36055000182,25
36055000142,25
36055000180,25
36055000159,25
36055000138,25
36055000202,25
36055000151,25
36055000178,25
36055000199,25
36055000168,25
36055000123,25
36055000220,25
36055000194,25
36055000179,25
36055000161,25
36055000187,25
36055000170,25
36055000158,25
36055000206,25
36055000200,25
36055000171,25
36055000196,25
36055000368,25
36055000359,25
36055000367,25
36055000230,25
36055000237,25
36055000234,25
36055000238,25
36029000182,26
36029000694,26
36029000593,26
36029000604,26
36029000598,26
36029000602,26
36029000599,26
36029000613,26
36029000606,26
36029000531,26
36029000005,22
36029000791,22
36029000786,22
36029000734,22
36029000085,22
36029000070,22
36029000068,22
36029000510,22
36029000498,22
36029000012,26
36029000542,26
36029000514,22
36029000513,22
36029000079,22
36029000084,22
36029000465,26
36029000283,22
36029000332,22
36029000072,22
36029000685,26
36029000569,22
36029000693,26
36029000768,22
36029000797,22
36029000649,26
36029000792,22
36029000237,26
36029000195,26
36029000756,22
36029000109,22
36029000328,22
36029000609,26
36029000209,22
36029000074,22
36029000573,22
36029000334,26
36029000336,26
36029000069,22
36029000105,26
36029000029,26
36029000407,26
36029000686,26
36029000688,26
36029000665,26
36029000006,22
36029000227,26
36029000235,26
36055000082,25
36055000029,25
36055000008,25
36055000485,25
36055000016,25
36055000033,25
36055000019,25
