GEOID20,District
36039000024,8
36039000039,8
36039000032,8
36039000013,8
36039000030,8
36039000028,8
36039000034,8
36039000033,8
36039000050,8
36039000001,8
36039000051,8
36039000042,8
36039000043,8
36039000047,8
36039000049,8
36039000035,8
36039000036,8
36039000037,8
36039000026,8
36039000007,8
36039000044,8
36039000038,8
36039000011,8
36039000006,8
36039000010,8
36039000009,8
36039000022,8
36039000021,8
36039000017,8
36039000015,8
36039000023,8
36039000029,8
36039000005,8
36039000002,8
36039000003,8
36039000004,8
36039000027,8
36039000018,8
36039000019,8
36039000025,8
36039000020,8
36039000048,8
36109000062,26
36109000055,26
36109000050,26
36109000052,26
36109000046,26
36109000058,26
36109000047,26
36109000053,26
36111000122,19
36111000123,19
36111000143,19
36111000153,19
36111000150,19
36111000051,8
36111000109,8
36111000075,19
36055000129,23
36055000127,23
36055000128,23
36055000141,23
36055000130,23
36055000144,23
36055000126,23
36055000124,23
36055000182,23
36055000142,23
36055000180,23
36055000159,23
36055000138,23
36055000202,23
36055000151,23
36055000178,23
36055000199,23
36055000168,23
36055000123,23
36055000220,23
36055000194,23
36055000179,23
36055000161,23
36055000187,23
36055000170,23
36055000158,23
36055000206,23
36055000200,23
36055000171,23
36055000196,23
36055000368,23
36055000359,23
36055000367,23
36055000230,25
36055000237,25
36055000234,23
36055000238,23
36029000182,24
36029000694,24
36029000593,24
36029000604,24
36029000598,24
36029000602,24
36029000599,24
36029000613,24
36029000606,24
36029000531,24
36029000005,25
36029000791,25
36029000786,25
36029000734,25
36029000085,25
36029000070,25
36029000068,25
36029000510,25
36029000498,25
36029000012,25
36029000542,24
36029000514,25
36029000513,25
36029000079,25
36029000084,25
36029000465,25
36029000283,24
36029000332,25
36029000072,25
36029000685,24
36029000569,25
36029000693,24
36029000768,25
36029000797,24
36029000649,24
36029000792,25
36029000237,24
36029000195,24
36029000756,25
36029000109,25
36029000328,25
36029000609,24
36029000209,24
36029000074,25
36029000573,25
36029000334,25
36029000336,25
36029000069,25
36029000105,24
36029000029,25
36029000407,25
36029000686,24
36029000688,24
36029000665,25
36029000006,25
36029000227,24
36029000235,24
36055000082,23
36055000029,23
36055000008,23
36055000485,23
36055000016,23
36055000033,23
36055000019,23
36055000005,23
36055000021,23
36055000035,23
36055000020,23
36055000025,23
36055000001,23
36055000023,23
36055000030,23
36055000040,23
36055000002,23
36055000393,23
36055000474,23
36055000492,23
36055000578,23
36055000645,23
36055000323,23
36055000340,23
36055000310,23
36055000307,23
36055000296,23
36055000302,23
36055000316,23
36055000285,23
36057000027,22
36057000026,22
36057000019,22
36057000013,22
36057000028,22
36057000036,8
36057000039,8
36057000037,8
36057000038,8
36057000022,8
36057000023,8
36057000030,22
36057000040,8
36057000029,8
36057000041,8
36057000006,22
36057000020,22
36057000010,22
36057000016,22
36057000035,8
36057000021,22
36057000025,22
36057000042,8
36057000031,8
36057000033,22
36057000003,22
36057000034,22
36057000009,22
36057000005,22
36057000015,22
36057000001,22
36057000004,22
36055000772,23
36055000778,23
36055000780,23
36055000794,23
36055000775,23
36055000762,23
36055000112,23
36055000092,23
36055000109,23
36055000796,23
