GEOID20,District
36039000024,23
36039000039,23
36039000032,23
36039000013,23
36039000030,23
36039000028,23
36039000034,23
36039000033,23
36039000050,23
36039000001,23
36039000051,23
36039000042,23
36039000043,23
36039000047,23
36039000049,23
36039000035,23
36039000036,23
36039000037,23
36039000026,23
36039000007,23
36039000044,23
36039000038,23
36039000011,23
36039000006,23
36039000010,23
36039000009,23
36039000022,23
36039000021,23
36039000017,23
36039000015,23
36039000023,23
36039000029,23
36039000005,23
36039000002,23
36039000003,23
36039000004,23
36039000027,23
36039000018,23
36039000019,23
36039000025,23
36039000020,23
36039000048,23
36109000062,17
36109000055,17
36109000050,17
36109000052,17
36109000046,17
36109000058,17
36109000047,17
36109000053,17
36111000122,23
36111000123,23
36111000143,20
36111000153,20
36111000150,20
36111000051,23
36111000109,23
36111000075,23
36055000129,26
36055000127,26
36055000128,26
36055000141,26
36055000130,26
36055000144,26
36055000126,26
36055000124,26
36055000182,26
36055000142,26
36055000180,26
36055000159,26
36055000138,26
36055000202,26
36055000151,26
36055000178,26
36055000199,26
36055000168,26
36055000123,26
36055000220,26
36055000194,26
36055000179,26
36055000161,26
36055000187,26
36055000170,26
36055000158,26
36055000206,26
36055000200,26
36055000171,26
36055000196,26
36055000368,24
36055000359,26
36055000367,24
36055000230,24
36055000237,24
36055000234,24
36055000238,24
36029000182,18
36029000694,18
36029000593,24
36029000604,24
36029000598,24
36029000602,24
36029000599,24
36029000613,24
36029000606,24
36029000531,24
36029000005,24
36029000791,18
36029000786,18
36029000734,18
36029000085,18
36029000070,18
36029000068,18
36029000510,24
36029000498,18
36029000012,18
36029000542,18
36029000514,18
36029000513,24
36029000079,24
36029000084,18
36029000465,18
36029000283,18
36029000332,18
36029000072,18
36029000685,24
36029000569,18
36029000693,24
36029000768,18
36029000797,24
36029000649,18
36029000792,18
36029000237,18
36029000195,18
36029000756,18
36029000109,18
36029000328,18
36029000609,24
36029000209,18
36029000074,18
36029000573,18
36029000334,18
36029000336,18
36029000069,18
36029000105,18
36029000029,18
36029000407,18
36029000686,24
36029000688,24
36029000665,18
36029000006,24
36029000227,18
36029000235,18
36055000082,24
36055000029,26
36055000008,26
36055000485,26
36055000016,26
36055000033,26
36055000019,26
36055000005,26
36055000021,26
36055000035,26
36055000020,26
36055000025,26
36055000001,26
36055000023,26
36055000030,26
36055000040,26
36055000002,24
36055000393,26
36055000474,26
36055000492,26
36055000578,24
36055000645,24
36055000323,26
36055000340,24
36055000310,24
36055000307,26
36055000296,26
36055000302,26
36055000316,26
36055000285,26
36057000027,19
36057000026,21
36057000019,19
36057000013,19
36057000028,19
36057000036,21
36057000039,21
36057000037,21
36057000038,21
36057000022,21
36057000023,21
36057000030,21
36057000040,21
36057000029,21
36057000041,21
36057000006,19
36057000020,19
36057000010,19
36057000016,19
36057000035,21
36057000021,19
36057000025,19
36057000042,21
36057000031,21
36057000033,21
36057000003,19
36057000034,21
36057000009,19
36057000005,19
36057000015,19
36057000001,19
36057000004,19
36055000772,26
36055000778,26
36055000780,26
36055000794,26
36055000775,26
36055000762,26
36055000112,24
36055000092,24
36055000109,24
36055000796,26
36055000790,26
36055000779,26
36055000610,24
36055000619,26
36055000623,26
36055000652,26
36055000542,24
36055000720,24
36055000530,24
36055000533,26
36055000554,24
36055000654,26
36055000668,26
36055000656,26
36055000572,24
36055000558,24
36055000575,24
36029000056,18
36029000053,18
36029000450,18
36029000455,18
36029000403,18
36029000225,18
36029000185,18
36029000049,18
36029000004,24
36029000729,18
36029000057,18
36029000071,18
36029000590,24
36029000579,18
36029000596,24
36029000626,18
36029000661,18
36029000757,18
36029000659,18
36029000025,18
36029000193,18
36029000239,18
36029000344,18
36029000113,18
36029000759,18
36029000320,18
36029000329,18
36029000645,18
36029000073,18
36029000511,24
36029000504,18
36029000177,18
36029000044,18
36029000021,18
36029000042,18
36029000261,18
36029000174,18
36029000208,18
36029000201,18
36029000226,18
36029000519,24
36029000007,24
36029000034,18
36029000058,18
36029000081,24
36029000204,18
36029000475,18
36029000045,18
36029000016,18
36029000001,24
36029000295,18
36029000297,18
36029000299,18
36029000258,18
36029000273,18
36029000066,18
36029000497,24
36029000153,18
36029000164,18
36029000043,18
36029000276,18
36029000019,18
36029000390,18
36029000392,18
36029000413,18
36029000269,18
36029000124,18
36029000197,18
36029000203,18
36029000221,18
36029000014,18
36029000026,18
36029000136,18
36029000024,18
36029000377,18
36029000122,18
36029000130,18
36029000131,18
36029000319,18
36029000140,18
36029000152,18
36029000067,18
36057000007,19
36057000012,19
36057000008,19
36057000011,19
36057000032,21
36057000002,19
36057000018,19
36063000034,24
36063000037,24
36063000032,24
36063000030,24
36063000031,24
36063000028,24
36063000029,24
36063000026,24
36063000148,24
36063000153,24
36063000150,24
36063000151,24
36063000149,24
36063000114,24
36063000112,24
36063000130,24
36063000115,24
36063000110,24
36063000121,24
36063000182,24
36063000181,24
36063000154,24
36063000156,24
36063000155,24
36063000005,24
36063000006,24
36063000007,24
36063000103,24
36063000085,24
36063000092,24
36063000087,24
36063000090,24
36063000091,24
36063000076,24
36063000077,24
36063000020,24
36063000019,24
36029000147,18
36029000274,18
36029000438,18
36029000382,18
36029000387,18
36029000386,18
36029000391,18
36029000397,18
36029000213,18
36029000212,18
36029000214,18
36029000116,18
36029000470,18
36029000576,18
36029000627,18
36029000624,18
36029000199,18
36029000222,18
36029000217,18
36029000430,18
36029000294,18
36029000115,18
36029000127,18
36029000126,18
36029000129,18
36029000257,18
36029000723,18
36029000018,18
36029000349,18
36029000366,18
36029000491,18
36029000304,18
36029000035,18
36029000788,18
36029000143,18
36029000154,18
36029000141,18
36029000149,18
36029000119,18
36029000440,18
36029000327,18
36029000704,24
36029000037,18
36029000135,18
36029000402,18
36029000463,18
36029000401,18
36029000404,18
36029000145,18
36029000368,18
36029000050,18
36029000176,18
36029000766,18
36029000369,18
36029000134,18
36029000156,18
36029000150,18
36029000290,18
36063000011,24
36063000152,24
36063000057,24
36063000063,24
36063000179,24
36063000176,24
36063000178,24
36063000001,24
36063000003,24
36063000023,24
36063000166,24
36063000127,24
36063000164,24
36063000173,24
36063000080,24
36063000048,24
36063000049,24
36063000043,24
36063000053,24
36063000056,24
36063000041,24
36063000102,24
36063000104,24
36063000160,24
36063000161,24
36055000535,24
36055000546,24
36055000540,26
36055000607,24
36055000673,24
36055000261,26
36055000255,26
36029000009,18
36029000807,18
36029000308,18
36029000698,24
36029000110,18
36029000114,18
36029000350,18
36029000355,18
36029000063,18
36029000640,18
36029000086,18
36029000312,18
36029000011,18
36029000138,18
36029000137,18
36029000139,18
36029000300,18
36029000311,18
36029000282,18
36029000051,18
36029000121,18
36029000431,18
36029000151,18
36029000280,18
36029000603,24
36029000699,18
36029000748,18
36029000502,24
36029000031,18
36029000038,18
36029000775,18
36029000163,18
36029000160,18
36029000330,18
36029000157,18
36029000166,18
36029000186,18
36029000171,18
36029000246,18
36029000251,18
36029000383,18
36029000378,18
36029000123,18
36029000255,18
36029000415,18
36029000646,18
36029000798,24
36029000538,18
36029000090,24
36029000091,24
36063000061,24
36063000078,24
36063000066,24
36063000067,24
36063000071,24
36063000070,24
36063000068,24
36063000107,24
36063000097,24
36063000009,24
36063000008,24
36063000038,24
36063000046,24
36063000039,24
36063000162,24
36063000163,24
36063000174,24
36063000171,24
36063000175,24
36063000170,24
36063000168,24
36063000108,24
36063000081,24
36063000082,24
36063000073,24
36063000074,24
36063000072,24
36063000117,24
36063000122,24
36063000120,24
36063000123,24
36063000124,24
36063000125,24
36063000137,24
36063000140,24
36063000128,24
36063000159,24
36063000018,24
36063000015,24
36063000106,24
36063000105,24
36063000119,24
36063000126,24
36063000138,24
36055000259,26
36055000256,26
36055000264,26
36055000257,26
36055000267,26
36055000501,26
36055000806,24
36055000617,26
36055000706,26
36055000807,24
36055000804,24
36055000734,24
36055000732,26
36055000691,24
36055000322,26
36055000277,26
36055000300,24
36055000433,26
36055000461,26
36055000504,26
36055000500,26
