GEOID20,District
36039000024,48
36039000039,48
36039000032,48
36039000013,48
36039000030,48
36039000028,48
36039000034,48
36039000033,48
36039000050,48
36039000001,48
36039000051,48
36039000042,48
36039000043,48
36039000047,48
36039000049,48
36039000035,48
36039000036,48
36039000037,48
36039000026,48
36039000007,48
36039000044,48
36039000038,48
36039000011,48
36039000006,48
36039000010,48
36039000009,48
36039000022,48
36039000021,48
36039000017,48
36039000015,48
36039000023,48
36039000029,48
36039000005,48
36039000002,48
36039000003,48
36039000004,48
36039000027,48
36039000018,48
36039000019,48
36039000025,48
36039000020,48
36039000048,48
36109000062,44
36109000055,44
36109000050,44
36109000052,44
36109000046,44
36109000058,44
36109000047,44
36109000053,44
36111000122,45
36111000123,45
36111000143,45
36111000153,45
36111000150,45
36111000051,45
36111000109,48
36111000075,45
36055000129,62
36055000127,62
36055000128,62
36055000141,62
36055000130,62
36055000144,62
36055000126,62
36055000124,62
36055000182,62
36055000142,62
36055000180,62
36055000159,62
36055000138,62
36055000202,62
36055000151,62
36055000178,62
36055000199,62
36055000168,62
36055000123,62
36055000220,62
36055000194,62
36055000179,62
36055000161,62
36055000187,62
36055000170,62
36055000158,62
36055000206,56
36055000200,56
36055000171,56
36055000196,56
36055000368,56
36055000359,56
36055000367,56
36055000230,56
36055000237,56
36055000234,56
36055000238,56
36029000182,60
36029000694,60
36029000593,60
36029000604,60
36029000598,60
36029000602,60
36029000599,60
36029000613,60
36029000606,60
36029000531,58
36029000005,63
36029000791,54
36029000786,54
36029000734,54
36029000085,54
36029000070,54
36029000068,54
36029000510,54
36029000498,63
36029000012,63
36029000542,63
36029000514,54
36029000513,54
36029000079,54
36029000084,54
36029000465,63
36029000283,60
36029000332,60
36029000072,54
36029000685,58
36029000569,54
36029000693,60
36029000768,54
36029000797,58
36029000649,63
36029000792,54
36029000237,63
36029000195,63
36029000756,54
36029000109,54
36029000328,54
36029000609,60
36029000209,60
36029000074,54
36029000573,54
36029000334,54
36029000336,60
36029000069,54
36029000105,58
36029000029,63
36029000407,63
36029000686,58
36029000688,60
36029000665,63
36029000006,63
36029000227,60
36029000235,63
36055000082,56
36055000029,57
36055000008,57
36055000485,57
36055000016,57
36055000033,57
36055000019,57
36055000005,57
36055000021,57
36055000035,57
36055000020,57
36055000025,57
36055000001,57
36055000023,57
36055000030,57
36055000040,57
36055000002,57
36055000393,57
36055000474,57
36055000492,57
36055000578,57
36055000645,57
36055000323,62
36055000340,62
36055000310,62
36055000307,62
36055000296,62
36055000302,62
36055000316,62
36055000285,62
36057000027,46
36057000026,46
36057000019,46
36057000013,46
36057000028,46
36057000036,46
36057000039,46
36057000037,46
36057000038,46
36057000022,46
36057000023,46
36057000030,46
36057000040,46
36057000029,46
36057000041,46
36057000006,46
36057000020,46
36057000010,46
36057000016,46
36057000035,46
36057000021,46
36057000025,46
36057000042,46
36057000031,46
36057000033,46
36057000003,46
36057000034,46
36057000009,46
36057000005,46
36057000015,46
36057000001,46
36057000004,46
36055000772,62
36055000778,62
36055000780,62
36055000794,62
36055000775,62
36055000762,62
36055000112,56
36055000092,56
36055000109,56
36055000796,62
36055000790,62
36055000779,62
36055000610,57
36055000619,57
36055000623,57
36055000652,62
36055000542,62
36055000720,62
36055000530,62
