GEOID20,District
36039000024,46
36039000039,46
36039000032,46
36039000013,46
36039000030,46
36039000028,46
36039000034,46
36039000033,46
36039000050,46
36039000001,46
36039000051,46
36039000042,46
36039000043,46
36039000047,46
36039000049,46
36039000035,46
36039000036,46
36039000037,46
36039000026,46
36039000007,46
36039000044,46
36039000038,46
36039000011,46
36039000006,46
36039000010,46
36039000009,46
36039000022,46
36039000021,46
36039000017,46
36039000015,46
36039000023,46
36039000029,46
36039000005,46
36039000002,46
36039000003,46
36039000004,46
36039000027,46
36039000018,46
36039000019,46
36039000025,46
36039000020,46
36039000048,46
36109000062,57
36109000055,57
36109000050,57
36109000052,57
36109000046,57
36109000058,42
36109000047,57
36109000053,57
36111000122,46
36111000123,46
36111000143,46
36111000153,46
36111000150,46
36111000051,46
36111000109,46
36111000075,46
36055000129,56
36055000127,56
36055000128,56
36055000141,56
36055000130,56
36055000144,56
36055000126,56
36055000124,56
36055000182,56
36055000142,56
36055000180,56
36055000159,56
36055000138,56
36055000202,56
36055000151,56
36055000178,56
36055000199,56
36055000168,56
36055000123,56
36055000220,56
36055000194,56
36055000179,56
36055000161,56
36055000187,56
36055000170,56
36055000158,56
36055000206,56
36055000200,56
36055000171,56
36055000196,56
36055000368,60
36055000359,60
36055000367,60
36055000230,60
36055000237,60
36055000234,60
36055000238,60
36029000182,59
36029000694,62
36029000593,59
36029000604,59
36029000598,59
36029000602,59
36029000599,59
36029000613,59
36029000606,59
36029000531,62
36029000005,61
36029000791,63
36029000786,63
36029000734,63
36029000085,63
36029000070,63
36029000068,63
36029000510,61
36029000498,61
36029000012,61
36029000542,62
36029000514,61
36029000513,61
36029000079,61
36029000084,63
36029000465,63
36029000283,59
36029000332,59
36029000072,63
36029000685,62
36029000569,63
36029000693,62
36029000768,63
36029000797,62
36029000649,61
36029000792,63
36029000237,62
36029000195,59
36029000756,63
36029000109,63
36029000328,59
36029000609,59
36029000209,62
36029000074,63
36029000573,63
36029000334,63
36029000336,59
36029000069,63
36029000105,59
36029000029,63
36029000407,63
36029000686,59
36029000688,62
36029000665,61
36029000006,61
36029000227,62
36029000235,62
36055000082,60
36055000029,55
36055000008,55
36055000485,55
36055000016,55
36055000033,55
36055000019,55
36055000005,55
36055000021,55
36055000035,55
36055000020,55
36055000025,55
36055000001,55
36055000023,55
36055000030,55
36055000040,55
36055000002,55
36055000393,55
36055000474,55
36055000492,55
36055000578,56
36055000645,56
36055000323,56
36055000340,56
36055000310,55
36055000307,48
36055000296,56
36055000302,48
36055000316,56
36055000285,55
36057000027,47
36057000026,47
36057000019,47
36057000013,47
36057000028,47
36057000036,47
36057000039,47
36057000037,47
36057000038,47
36057000022,47
36057000023,47
36057000030,47
36057000040,47
36057000029,47
36057000041,47
36057000006,47
36057000020,47
36057000010,47
36057000016,47
36057000035,47
36057000021,47
36057000025,47
36057000042,47
36057000031,47
36057000033,47
36057000003,47
36057000034,47
36057000009,47
36057000005,47
36057000015,47
36057000001,47
36057000004,47
36055000772,48
36055000778,48
36055000780,48
36055000794,48
36055000775,48
36055000762,48
36055000112,56
36055000092,56
36055000109,56
36055000796,48
36055000790,48
36055000779,48
36055000610,55
36055000619,55
36055000623,55
36055000652,56
36055000542,55
36055000720,56
36055000530,55
36055000533,55
36055000554,55
36055000654,56
36055000668,56
36055000656,56
36055000572,55
36055000558,55
36055000575,55
36029000056,63
36029000053,61
36029000450,62
36029000455,62
36029000403,63
36029000225,62
36029000185,59
36029000049,63
36029000004,61
36029000729,63
36029000057,63
36029000071,63
36029000590,59
36029000579,62
36029000596,59
36029000626,59
36029000661,61
36029000757,63
36029000659,62
36029000025,63
36029000193,62
36029000239,62
36029000344,62
36029000113,63
36029000759,63
36029000320,59
36029000329,59
36029000645,61
36029000073,63
36029000511,61
36029000504,61
36029000177,59
36029000044,63
36029000021,63
36029000042,63
36029000261,62
36029000174,59
36029000208,62
36029000201,62
36029000226,62
36029000519,62
36029000007,61
36029000034,63
36029000058,63
36029000081,61
36029000204,62
36029000475,63
36029000045,63
36029000016,63
36029000001,61
36029000295,59
36029000297,59
36029000299,59
36029000258,62
36029000273,59
36029000066,63
36029000497,61
36029000153,59
36029000164,59
36029000043,63
36029000276,59
36029000019,62
36029000390,63
36029000392,62
36029000413,63
36029000269,59
36029000124,63
36029000197,59
36029000203,62
36029000221,62
36029000014,63
36029000026,63
36029000136,59
36029000024,63
36029000377,63
36029000122,63
36029000130,63
36029000131,63
36029000319,63
36029000140,59
36029000152,59
36029000067,63
36057000007,47
36057000012,47
36057000008,47
36057000011,47
36057000032,47
36057000002,47
36057000018,47
36063000034,61
36063000037,61
36063000032,61
36063000030,61
36063000031,61
36063000028,61
36063000029,61
36063000026,61
36063000148,61
36063000153,61
36063000150,61
36063000151,61
36063000149,61
36063000114,61
36063000112,61
36063000130,61
36063000115,61
36063000110,61
36063000121,61
36063000182,61
36063000181,61
36063000154,61
36063000156,61
36063000155,61
36063000005,61
36063000006,61
36063000007,61
36063000103,61
36063000085,61
36063000092,61
36063000087,61
36063000090,61
36063000091,61
36063000076,61
36063000077,61
36063000020,61
36063000019,61
36029000147,59
36029000274,59
36029000438,63
36029000382,63
36029000387,63
36029000386,62
36029000391,62
36029000397,62
36029000213,59
36029000212,62
36029000214,62
36029000116,63
36029000470,63
36029000576,59
36029000627,59
36029000624,59
36029000199,59
36029000222,62
36029000217,62
36029000430,62
36029000294,59
36029000115,63
36029000127,63
36029000126,63
36029000129,63
36029000257,62
36029000723,63
36029000018,62
36029000349,62
36029000366,62
36029000491,63
36029000304,59
36029000035,63
36029000788,63
36029000143,59
36029000154,59
36029000141,59
36029000149,59
36029000119,63
36029000440,62
36029000327,59
36029000704,62
36029000037,63
36029000135,59
36029000402,63
36029000463,63
36029000401,63
36029000404,63
36029000145,59
36029000368,62
36029000050,63
36029000176,59
36029000766,63
36029000369,62
36029000134,63
36029000156,59
36029000150,59
36029000290,59
36063000011,61
36063000152,61
36063000057,61
36063000063,61
36063000179,61
36063000176,61
36063000178,61
36063000001,61
36063000003,61
36063000023,61
36063000166,61
36063000127,61
36063000164,61
36063000173,61
36063000080,61
36063000048,61
36063000049,61
36063000043,61
36063000053,61
36063000056,61
36063000041,61
36063000102,61
36063000104,61
36063000160,61
36063000161,61
36055000535,55
36055000546,55
36055000540,55
36055000607,56
36055000673,56
36055000261,55
36055000255,55
36029000009,63
36029000807,62
36029000308,59
36029000698,62
36029000110,63
36029000114,63
36029000350,62
36029000355,62
36029000063,61
36029000640,61
36029000086,63
36029000312,59
36029000011,63
36029000138,59
36029000137,59
36029000139,59
36029000300,59
36029000311,59
36029000282,59
36029000051,63
36029000121,63
36029000431,62
36029000151,59
36029000280,59
36029000603,59
36029000699,59
36029000748,63
36029000502,61
36029000031,61
36029000038,63
36029000775,63
36029000163,59
36029000160,59
36029000330,63
36029000157,59
36029000166,59
36029000186,62
36029000171,59
36029000246,63
36029000251,63
36029000383,63
36029000378,63
36029000123,63
36029000255,63
36029000415,62
36029000646,61
36029000798,62
36029000538,62
36029000090,62
36029000091,62
36063000061,61
36063000078,61
36063000066,61
36063000067,61
36063000071,61
36063000070,61
36063000068,61
36063000107,61
36063000097,61
36063000009,61
36063000008,61
36063000038,61
36063000046,61
36063000039,61
36063000162,61
36063000163,61
36063000174,61
36063000171,61
36063000175,61
36063000170,61
36063000168,61
36063000108,61
36063000081,61
36063000082,61
36063000073,61
36063000074,61
36063000072,61
36063000117,61
36063000122,61
36063000120,61
36063000123,61
36063000124,61
36063000125,61
36063000137,61
36063000140,61
36063000128,61
36063000159,61
36063000018,61
36063000015,61
36063000106,61
36063000105,61
36063000119,61
36063000126,61
36063000138,61
36055000259,55
36055000256,55
36055000264,55
36055000257,55
36055000267,55
36055000501,55
36055000806,60
36055000617,55
36055000706,56
36055000807,60
36055000804,60
36055000734,56
36055000732,56
36055000691,56
36055000322,56
36055000277,48
36055000300,55
36055000433,55
36055000461,55
36055000504,55
36055000500,55
36055000509,55
36055000495,55
36055000390,55
36055000512,55
36055000346,60
36055000121,56
36029000155,59
36029000117,63
36029000111,63
36029000120,63
36029000655,61
36029000076,63
36029000118,63
36029000773,63
36029000032,61
36029000286,62
36029000406,63
36029000230,62
36029000229,62
36029000250,63
36029000248,63
36029000305,59
36029000623,59
36029000298,59
36029000088,62
36029000534,59
36029000097,59
36063000025,61
36063000165,61
36063000136,61
36063000142,61
36063000116,61
36063000109,61
36063000111,61
36063000045,61
36063000044,61
36063000157,61
36063000083,61
36063000143,61
36063000147,61
36063000146,61
36063000167,61
36063000134,61
36063000133,61
36063000132,61
36063000135,61
36063000131,61
36063000158,61
36063000047,61
36063000089,61
36029000284,59
36029000112,63
36029000146,59
36029000125,63
36029000017,63
36029000142,59
36029000272,59
36029000835,62
36029000236,62
36029000442,63
36029000187,59
36029000148,59
36029000144,59
36029000289,59
36029000266,63
36029000279,59
36029000680,61
36029000471,63
36029000008,63
36029000173,59
36029000621,59
36029000527,62
36029000075,63
36029000078,61
36029000509,61
36029000464,63
36029000533,59
36029000100,62
36029000172,59
36029000211,59
36029000207,59
36029000335,63
36029000065,63
36029000041,63
36029000104,59
36029000023,63
36029000809,62
36029000642,61
36029000501,61
36029000003,61
36029000175,59
36029000586,59
36029000093,62
36029000749,63
36029000030,61
36029000027,63
36029000039,63
36029000518,62
36029000161,59
36029000159,59
36029000054,61
36055000544,55
36055000571,55
36055000559,55
36055000044,55
36055000045,55
36055000031,55
36055000043,55
36055000037,55
36055000242,55
36055000007,55
36055000015,55
36055000011,55
36055000398,55
36055000426,55
36055000189,56
36055000562,55
36055000080,60
36055000752,60
36055000749,60
36055000751,60
36029000158,59
36029000165,59
36029000169,59
36029000170,59
36029000167,59
36029000252,62
36029000253,63
36029000254,63
36029000374,63
36029000379,63
36029000373,63
36029000260,63
36029000549,59
36029000416,63
36029000095,62
36029000089,62
36029000096,62
36029000094,62
36029000087,62
36063000088,61
36063000099,61
36063000075,61
36063000084,61
36063000017,61
36063000016,61
36063000014,61
36063000064,61
36063000062,61
36063000058,61
36063000177,61
36063000004,61
36063000002,61
36063000024,61
36063000022,61
36063000060,61
36063000172,61
36063000079,61
36063000051,61
36063000050,61
36063000042,61
36063000052,61
36063000040,61
36063000100,61
36063000101,61
36063000086,61
36063000059,61
36063000010,61
36063000065,61
36055000218,56
36055000226,56
36055000192,56
36055000216,56
36055000223,56
36055000205,56
36055000221,56
36055000164,56
36055000166,56
36055000131,56
36055000139,56
36055000140,56
36055000125,56
36055000503,55
36055000750,60
36055000455,55
36055000442,55
36055000428,55
36055000438,55
36055000473,55
36055000449,55
36055000447,55
36055000467,55
36055000453,55
36055000808,55
36055000814,55
36055000659,56
36055000733,56
36055000713,56
36055000661,56
36055000662,56
36055000565,55
36055000553,55
36055000552,55
36055000534,55
36055000548,55
36029000083,63
36029000690,62
36029000610,59
36029000585,59
36029000695,62
36029000370,62
36029000543,62
36029000449,63
36029000178,59
36029000338,63
36029000785,63
36029000566,63
36029000669,61
36029000454,62
36029000622,59
36029000363,62
36029000348,62
36029000358,62
36029000047,63
36029000713,63
36029000107,63
36029000128,63
36029000551,59
36029000015,63
36029000417,62
36029000544,62
36029000103,59
36029000101,62
36029000162,59
