GEOID20,District
36039000024,22
36039000039,22
36039000032,22
36039000013,22
36039000030,22
36039000028,22
36039000034,22
36039000033,22
36039000050,22
36039000001,22
36039000051,22
36039000042,22
36039000043,22
36039000047,22
36039000049,22
36039000035,22
36039000036,22
36039000037,22
36039000026,22
36039000007,22
36039000044,22
36039000038,22
36039000011,22
36039000006,22
36039000010,22
36039000009,22
36039000022,22
36039000021,22
36039000017,22
36039000015,22
36039000023,22
36039000029,22
36039000005,22
36039000002,22
36039000003,22
36039000004,22
36039000027,22
36039000018,22
36039000019,22
36039000025,22
36039000020,22
36039000048,22
36109000062,20
36109000055,20
36109000050,20
36109000052,20
36109000046,20
36109000058,20
36109000047,20
36109000053,20
36111000122,21
36111000123,21
36111000143,21
36111000153,21
36111000150,21
36111000051,21
36111000109,22
36111000075,21
36055000129,24
36055000127,24
36055000128,24
36055000141,24
36055000130,24
36055000144,24
36055000126,24
36055000124,24
36055000182,24
36055000142,24
36055000180,24
36055000159,24
36055000138,24
36055000202,24
36055000151,24
36055000178,24
36055000199,24
36055000168,24
36055000123,24
36055000220,24
36055000194,24
36055000179,24
36055000161,24
36055000187,24
36055000170,24
36055000158,24
36055000206,24
36055000200,24
36055000171,24
36055000196,24
36055000368,24
36055000359,24
36055000367,24
36055000230,24
36055000237,24
36055000234,24
36055000238,24
36029000182,25
36029000694,25
36029000593,25
36029000604,25
36029000598,25
36029000602,25
36029000599,25
36029000613,25
36029000606,25
36029000531,25
36029000005,26
36029000791,26
36029000786,26
36029000734,26
36029000085,26
36029000070,26
36029000068,26
36029000510,26
36029000498,26
36029000012,26
36029000542,25
36029000514,26
36029000513,26
36029000079,26
36029000084,26
36029000465,26
36029000283,25
36029000332,25
36029000072,26
36029000685,25
36029000569,26
36029000693,25
36029000768,25
36029000797,26
36029000649,26
36029000792,26
36029000237,25
36029000195,25
36029000756,25
36029000109,25
36029000328,25
36029000609,25
36029000209,25
36029000074,26
36029000573,26
36029000334,25
36029000336,25
36029000069,26
36029000105,25
36029000029,26
36029000407,26
36029000686,25
36029000688,25
36029000665,26
36029000006,26
36029000227,25
36029000235,25
36055000082,24
36055000029,24
36055000008,24
36055000485,24
36055000016,24
36055000033,24
36055000019,24
36055000005,24
36055000021,24
36055000035,24
36055000020,24
36055000025,24
36055000001,24
36055000023,24
36055000030,24
36055000040,24
36055000002,24
36055000393,24
36055000474,24
36055000492,24
36055000578,24
36055000645,24
36055000323,24
36055000340,24
36055000310,24
36055000307,24
36055000296,24
36055000302,24
36055000316,24
36055000285,24
