GEOID20,District
36039000024,52
36039000039,52
36039000032,52
36039000013,52
36039000030,52
36039000028,52
36039000034,52
36039000033,52
36039000050,52
36039000001,52
36039000051,52
36039000042,52
36039000043,52
36039000047,52
36039000049,52
36039000035,52
36039000036,52
36039000037,52
36039000026,52
36039000007,52
36039000044,52
36039000038,52
36039000011,52
36039000006,52
36039000010,52
36039000009,52
36039000022,52
36039000021,52
36039000017,52
36039000015,52
36039000023,52
36039000029,52
36039000005,52
36039000002,52
36039000003,52
36039000004,52
36039000027,52
36039000018,52
36039000019,52
36039000025,52
36039000020,52
36039000048,52
36109000062,55
36109000055,55
36109000050,55
36109000052,55
36109000046,55
36109000058,55
36109000047,55
36109000053,55
36111000122,47
36111000123,47
36111000143,47
36111000153,47
36111000150,47
36111000051,47
36111000109,47
36111000075,47
36055000129,56
36055000127,56
36055000128,56
36055000141,56
36055000130,56
36055000144,56
36055000126,56
36055000124,56
36055000182,56
36055000142,56
36055000180,56
36055000159,56
36055000138,56
36055000202,56
36055000151,56
36055000178,56
36055000199,56
36055000168,56
36055000123,56
36055000220,56
36055000194,56
36055000179,56
36055000161,56
36055000187,56
36055000170,56
36055000158,56
36055000206,56
36055000200,56
36055000171,56
36055000196,56
36055000368,58
36055000359,56
36055000367,56
36055000230,56
36055000237,56
36055000234,56
36055000238,56
36029000182,62
36029000694,62
36029000593,62
36029000604,62
36029000598,62
36029000602,62
36029000599,62
36029000613,62
36029000606,62
36029000531,63
36029000005,61
36029000791,61
36029000786,60
36029000734,60
36029000085,61
36029000070,61
36029000068,61
36029000510,61
36029000498,61
36029000012,60
36029000542,62
36029000514,61
36029000513,61
36029000079,61
36029000084,61
36029000465,60
36029000283,62
36029000332,61
36029000072,61
36029000685,63
36029000569,61
36029000693,62
36029000768,61
36029000797,63
36029000649,60
36029000792,61
36029000237,60
36029000195,62
36029000756,61
36029000109,61
36029000328,61
36029000609,62
36029000209,62
36029000074,61
36029000573,61
36029000334,61
36029000336,61
36029000069,61
36029000105,62
36029000029,60
36029000407,60
36029000686,62
36029000688,62
36029000665,60
36029000006,63
36029000227,60
36029000235,60
36055000082,56
36055000029,57
36055000008,58
36055000485,57
36055000016,58
36055000033,57
36055000019,58
36055000005,58
36055000021,58
36055000035,58
36055000020,58
36055000025,58
36055000001,58
36055000023,58
36055000030,58
36055000040,58
36055000002,58
36055000393,57
36055000474,57
36055000492,57
36055000578,58
36055000645,56
36055000323,56
36055000340,58
36055000310,58
36055000307,57
36055000296,56
36055000302,56
36055000316,56
36055000285,58
36057000027,51
36057000026,51
36057000019,51
36057000013,51
36057000028,51
36057000036,51
36057000039,51
36057000037,51
36057000038,51
36057000022,51
36057000023,51
36057000030,51
36057000040,51
36057000029,51
36057000041,51
36057000006,51
36057000020,51
36057000010,51
36057000016,51
36057000035,51
36057000021,51
36057000025,51
36057000042,51
36057000031,51
36057000033,51
36057000003,51
36057000034,51
36057000009,51
36057000005,51
36057000015,51
36057000001,51
36057000004,51
36055000772,57
36055000778,57
36055000780,57
36055000794,57
36055000775,57
36055000762,57
36055000112,56
36055000092,56
36055000109,56
36055000796,57
36055000790,57
36055000779,57
36055000610,58
36055000619,58
36055000623,58
36055000652,56
36055000542,58
36055000720,58
36055000530,58
36055000533,58
36055000554,58
36055000654,56
36055000668,56
36055000656,56
36055000572,58
36055000558,58
36055000575,58
36029000056,61
36029000053,61
36029000450,60
36029000455,60
36029000403,60
36029000225,60
36029000185,62
36029000049,61
36029000004,61
36029000729,61
36029000057,61
36029000071,61
36029000590,62
36029000579,62
36029000596,62
36029000626,62
36029000661,60
36029000757,61
36029000659,60
36029000025,60
36029000193,62
36029000239,62
36029000344,60
36029000113,61
36029000759,61
36029000320,61
36029000329,61
36029000645,60
36029000073,61
36029000511,61
36029000504,60
36029000177,62
36029000044,60
36029000021,60
36029000042,60
36029000261,62
36029000174,62
36029000208,62
36029000201,62
36029000226,60
36029000519,63
36029000007,63
36029000034,61
36029000058,61
36029000081,61
36029000204,62
36029000475,60
36029000045,60
36029000016,60
36029000001,63
36029000295,62
36029000297,62
36029000299,62
36029000258,60
36029000273,62
36029000066,61
36029000497,63
36029000153,62
36029000164,62
36029000043,60
36029000276,62
36029000019,60
36029000390,60
36029000392,60
36029000413,60
36029000269,62
36029000124,61
36029000197,62
36029000203,62
36029000221,60
36029000014,60
36029000026,60
36029000136,62
36029000024,60
36029000377,60
36029000122,61
36029000130,62
36029000131,62
36029000319,61
36029000140,62
36029000152,62
36029000067,61
36057000007,51
36057000012,51
36057000008,51
36057000011,51
36057000032,51
36057000002,51
36057000018,51
36063000034,63
36063000037,63
36063000032,63
36063000030,63
36063000031,63
36063000028,63
36063000029,61
36063000026,63
36063000148,63
36063000153,63
36063000150,63
36063000151,63
36063000149,63
36063000114,61
36063000112,61
36063000130,61
36063000115,61
36063000110,61
36063000121,61
36063000182,63
36063000181,63
36063000154,63
36063000156,63
36063000155,63
36063000005,63
36063000006,63
36063000007,63
36063000103,61
36063000085,63
36063000092,61
36063000087,63
36063000090,63
36063000091,63
36063000076,61
36063000077,61
36063000020,63
36063000019,63
36029000147,62
36029000274,62
36029000438,60
36029000382,60
36029000387,60
36029000386,60
36029000391,60
36029000397,60
36029000213,62
36029000212,62
36029000214,60
36029000116,61
36029000470,60
36029000576,62
36029000627,62
36029000624,62
36029000199,62
36029000222,60
36029000217,60
36029000430,60
36029000294,62
36029000115,61
36029000127,62
36029000126,61
36029000129,62
36029000257,60
36029000723,61
36029000018,60
36029000349,60
36029000366,62
36029000491,60
36029000304,62
36029000035,61
36029000788,61
36029000143,62
36029000154,62
36029000141,62
36029000149,62
36029000119,61
36029000440,60
36029000327,61
36029000704,62
36029000037,61
36029000135,62
36029000402,60
36029000463,60
36029000401,60
36029000404,60
36029000145,62
36029000368,62
36029000050,61
36029000176,62
36029000766,60
36029000369,62
36029000134,62
36029000156,62
36029000150,62
36029000290,61
36063000011,63
36063000152,63
36063000057,63
36063000063,63
36063000179,63
36063000176,63
36063000178,63
36063000001,63
36063000003,63
36063000023,63
36063000166,61
36063000127,61
36063000164,63
36063000173,61
36063000080,61
36063000048,63
36063000049,63
36063000043,63
36063000053,63
36063000056,63
36063000041,63
36063000102,63
36063000104,61
36063000160,63
36063000161,63
36055000535,58
36055000546,58
36055000540,58
36055000607,58
36055000673,56
36055000261,57
36055000255,58
36029000009,60
36029000807,62
36029000308,62
36029000698,62
36029000110,61
36029000114,61
36029000350,60
36029000355,60
36029000063,61
36029000640,60
36029000086,61
36029000312,62
36029000011,60
36029000138,62
36029000137,62
36029000139,62
36029000300,62
36029000311,62
36029000282,62
36029000051,61
36029000121,61
36029000431,60
36029000151,62
36029000280,62
36029000603,62
36029000699,62
36029000748,60
36029000502,61
36029000031,60
36029000038,61
36029000775,60
36029000163,62
36029000160,62
36029000330,61
36029000157,62
36029000166,62
36029000186,60
36029000171,62
36029000246,60
36029000251,60
36029000383,60
36029000378,60
36029000123,60
36029000255,60
36029000415,60
36029000646,60
36029000798,63
36029000538,62
36029000090,63
36029000091,63
36063000061,63
36063000078,61
36063000066,63
36063000067,63
36063000071,63
36063000070,61
36063000068,61
36063000107,61
36063000097,63
36063000009,63
36063000008,63
36063000038,63
36063000046,63
36063000039,63
36063000162,63
36063000163,63
36063000174,61
36063000171,61
36063000175,63
36063000170,63
36063000168,61
36063000108,61
36063000081,61
36063000082,61
36063000073,61
36063000074,61
36063000072,61
36063000117,61
36063000122,61
36063000120,61
36063000123,61
36063000124,61
36063000125,61
36063000137,61
36063000140,61
36063000128,61
36063000159,63
36063000018,63
36063000015,63
36063000106,61
36063000105,61
36063000119,61
36063000126,61
36063000138,61
36055000259,58
36055000256,57
36055000264,57
36055000257,58
36055000267,58
36055000501,57
36055000806,58
36055000617,58
36055000706,56
36055000807,58
36055000804,58
36055000734,56
36055000732,56
36055000691,56
36055000322,56
36055000277,56
36055000300,58
36055000433,57
36055000461,57
36055000504,57
36055000500,57
36055000509,57
36055000495,57
36055000390,57
36055000512,57
36055000346,58
36055000121,56
36029000155,62
36029000117,61
36029000111,61
36029000120,61
36029000655,61
36029000076,61
36029000118,61
36029000773,61
36029000032,61
36029000286,62
36029000406,60
36029000230,60
36029000229,60
36029000250,60
36029000248,60
36029000305,62
36029000623,62
36029000298,62
36029000088,63
36029000534,62
36029000097,62
36063000025,63
36063000165,61
36063000136,61
36063000142,61
36063000116,61
36063000109,61
36063000111,61
36063000045,63
36063000044,63
36063000157,63
36063000083,61
36063000143,63
36063000147,61
36063000146,61
36063000167,63
36063000134,61
36063000133,61
36063000132,61
36063000135,61
36063000131,61
36063000158,63
36063000047,63
36063000089,63
36029000284,62
36029000112,61
36029000146,62
36029000125,61
36029000017,60
36029000142,62
36029000272,62
36029000835,62
36029000236,62
36029000442,60
36029000187,62
36029000148,62
36029000144,62
36029000289,61
36029000266,62
36029000279,62
36029000680,63
36029000471,60
36029000008,60
36029000173,62
36029000621,62
36029000527,63
36029000075,61
36029000078,61
36029000509,61
36029000464,60
36029000533,62
36029000100,63
36029000172,62
36029000211,62
36029000207,62
36029000335,61
36029000065,61
36029000041,60
36029000104,62
36029000023,60
36029000809,62
36029000642,60
36029000501,61
36029000003,63
36029000175,62
36029000586,62
36029000093,63
36029000749,60
36029000030,60
36029000027,60
36029000039,60
36029000518,63
36029000161,62
36029000159,62
36029000054,61
36055000544,58
36055000571,58
36055000559,58
36055000044,58
36055000045,58
36055000031,58
36055000043,57
36055000037,57
36055000242,58
36055000007,58
36055000015,58
36055000011,58
36055000398,57
36055000426,57
36055000189,56
36055000562,58
36055000080,56
36055000752,56
36055000749,56
36055000751,56
36029000158,62
36029000165,62
36029000169,62
36029000170,62
36029000167,62
36029000252,60
36029000253,62
36029000254,60
36029000374,60
36029000379,61
36029000373,61
36029000260,62
36029000549,62
36029000416,60
36029000095,63
36029000089,63
36029000096,63
36029000094,62
36029000087,63
36063000088,63
36063000099,63
36063000075,61
36063000084,61
36063000017,63
36063000016,63
36063000014,63
36063000064,63
36063000062,63
36063000058,63
36063000177,63
36063000004,63
36063000002,63
36063000024,63
36063000022,63
36063000060,63
36063000172,61
36063000079,61
36063000051,63
36063000050,63
36063000042,63
36063000052,63
36063000040,63
36063000100,63
36063000101,63
36063000086,63
36063000059,63
36063000010,63
36063000065,63
36055000218,56
36055000226,56
36055000192,56
36055000216,56
36055000223,56
36055000205,56
36055000221,56
36055000164,56
36055000166,56
36055000131,56
36055000139,56
36055000140,56
36055000125,56
36055000503,57
36055000750,56
36055000455,57
36055000442,57
36055000428,57
36055000438,57
36055000473,57
36055000449,57
36055000447,57
36055000467,57
36055000453,57
36055000808,57
36055000814,57
36055000659,56
36055000733,56
36055000713,56
36055000661,56
36055000662,56
36055000565,58
36055000553,58
36055000552,58
36055000534,58
36055000548,58
36029000083,61
36029000690,63
36029000610,62
36029000585,62
36029000695,62
36029000370,62
36029000543,60
36029000449,60
36029000178,62
36029000338,61
36029000785,61
36029000566,61
36029000669,60
36029000454,60
36029000622,62
36029000363,62
36029000348,60
36029000358,60
36029000047,60
36029000713,61
36029000107,61
36029000128,62
36029000551,62
36029000015,60
36029000417,60
36029000544,62
36029000103,62
36029000101,63
36029000162,62
36029000168,62
36055000070,58
36055000233,56
36055000231,56
36055000488,57
36055000136,56
36055000107,58
36029000628,62
36029000794,61
36029000316,61
36029000052,61
36029000059,61
36029000732,61
36029000082,61
36029000567,61
36029000505,61
36029000077,61
36029000040,60
36055000064,58
36055000782,57
36055000423,57
36055000404,57
36055000271,57
36055000405,57
36055000424,57
36055000421,57
36055000636,58
36055000630,58
36055000101,56
36055000119,56
36055000118,56
36055000114,56
36055000715,56
36055000709,56
36055000343,58
36055000625,58
36055000811,57
36055000093,56
36055000702,56
36055000006,58
36055000090,58
36055000628,58
36055000651,58
36055000744,58
36027000209,43
36025000047,52
36027000054,43
36025000044,52
36027000208,43
36025000045,52
36027000002,47
36027000190,47
36027000165,43
36027000161,43
36027000162,43
36027000199,43
36027000210,43
36027000198,43
36027000202,43
36027000124,47
36027000147,47
36027000141,47
36027000156,47
36027000001,47
36027000003,43
36027000047,43
36027000055,43
36027000154,43
36027000160,43
36027000151,47
36027000157,47
36027000195,43
36027000004,43
36027000135,47
36027000136,47
36027000131,43
36027000144,43
36027000132,43
36027000143,43
36027000045,43
36027000180,47
36027000178,47
36027000025,47
36027000029,43
36027000053,43
36027000063,43
36027000058,43
36027000006,43
36007000024,59
36007000013,59
36007000012,59
36007000023,59
36007000046,52
36007000048,52
36007000075,52
36007000074,52
36007000076,52
36007000063,52
36007000064,52
36007000066,52
36007000065,52
36007000003,59
36007000004,59
36007000005,59
36007000053,59
36007000055,52
36007000056,52
36007000054,59
36007000008,59
36007000073,59
36007000140,52
36007000139,52
36007000141,52
36007000107,59
36007000106,59
36007000108,59
36007000105,59
36007000113,59
36007000100,59
36007000099,59
36007000098,59
36007000068,59
36007000119,59
36007000125,59
36007000093,59
36007000027,59
36007000028,59
36007000026,59
36007000022,59
36007000021,59
36007000020,59
36007000051,59
36007000052,59
36007000050,59
36007000049,59
36007000072,59
36007000078,52
36007000007,59
36007000010,59
36007000058,52
36007000096,59
36007000095,59
36007000088,59
36007000025,59
36007000029,59
36007000019,59
36007000018,59
36007000030,59
36007000031,59
36007000033,59
36007000034,59
36007000057,59
36007000122,59
36007000136,59
36007000127,59
36007000128,59
36007000120,59
36007000124,59
36007000002,59
36007000067,59
36007000089,59
36007000134,59
36007000126,59
36007000094,59
36007000085,59
36007000081,59
36007000071,59
36007000138,52
36007000041,52
36007000040,59
36007000079,59
36007000090,59
36007000123,59
36007000132,59
36007000009,52
36007000117,59
36007000044,52
36007000045,52
36007000038,59
36007000116,59
36007000110,59
36007000114,59
36007000115,59
36007000061,52
36007000103,59
36007000006,59
36007000097,59
36007000104,59
36007000084,59
36007000070,59
36007000133,59
36007000001,59
36007000091,59
36007000087,59
36007000121,59
36007000086,59
36007000083,59
36007000080,59
36007000069,59
36007000137,52
36007000082,59
36007000092,59
36007000118,59
36007000131,59
36007000135,59
36007000042,52
36007000043,59
36007000039,59
36007000059,52
36007000111,59
36007000109,59
36007000060,52
36007000062,52
36007000101,59
36007000011,59
36007000102,59
36007000036,59
36019000035,48
36017000021,53
36019000043,48
36017000002,52
36019000046,48
36019000048,48
36017000004,52
36017000026,53
36017000010,52
36019000051,48
36017000027,52
36019000019,48
36017000024,53
36017000011,53
36017000022,52
36017000012,53
36019000024,48
36017000007,52
36017000006,52
36019000001,48
36017000008,52
36017000009,53
36019000029,48
36017000014,52
36017000017,52
36017000013,52
36017000019,52
36017000016,52
36019000026,48
36017000030,52
36017000031,53
36017000029,53
36019000027,48
36019000028,48
36017000003,53
36019000025,48
36017000025,53
36019000005,48
36017000005,52
36017000015,52
36017000028,53
36019000030,48
36017000018,52
36017000020,52
36019000014,48
36019000017,48
36019000020,48
36019000036,48
36019000008,48
36027000174,47
36027000062,43
36027000068,43
36027000110,43
36027000114,43
36027000113,43
36027000115,47
36027000116,43
36027000111,43
36027000127,43
36027000095,43
36027000014,43
36027000021,43
36027000020,43
36027000019,43
36027000018,43
36027000016,43
36027000023,47
36027000024,47
36027000088,43
36027000080,47
36027000079,47
36027000034,43
36027000048,43
36027000044,43
36027000037,43
36027000050,43
36027000049,43
36027000046,43
36027000220,43
36027000009,43
36027000005,43
36027000133,43
36027000129,43
36027000128,43
36027000134,43
36027000145,43
36027000130,43
36027000070,47
36027000196,43
36027000083,47
36027000104,43
36027000177,47
36027000026,43
36027000118,43
36027000066,43
36027000064,43
36027000056,43
36027000067,43
36027000059,43
36027000010,43
36027000007,43
36027000011,43
36027000089,43
36027000096,43
36027000091,43
36027000167,43
36025000046,52
36027000171,47
36027000061,43
36025000031,52
36027000060,43
36027000057,43
36027000108,47
36027000112,43
36025000010,52
36027000150,47
36027000040,43
36027000032,43
36025000027,52
36027000039,43
36027000051,43
36027000038,43
36025000004,52
36027000121,47
36025000006,52
36027000175,47
36027000207,43
36027000017,43
36025000051,52
36027000097,47
36027000030,43
36025000048,52
36027000082,47
36027000073,47
36027000081,47
36025000026,52
36027000098,47
36027000078,47
36027000099,47
36025000032,52
36027000101,47
36027000107,43
36025000050,52
36027000193,43
36027000186,47
36025000008,52
36027000176,47
36025000017,52
36027000218,43
36027000119,47
36025000030,52
36027000164,47
36027000172,47
36025000037,52
36027000168,47
36027000216,43
36025000022,52
36027000215,43
36027000197,43
36027000203,43
36025000015,52
36027000200,43
36025000023,52
36027000217,43
36027000086,43
36025000021,52
36027000188,47
36025000041,52
36027000148,47
36027000183,47
36025000042,52
36027000035,43
36025000001,52
36027000187,47
36027000140,47
36025000016,52
36027000185,47
36025000002,52
36027000090,43
36025000005,52
36027000184,47
36027000189,47
36025000003,52
36027000125,47
36025000011,52
36027000122,47
36027000126,47
36025000019,52
36027000123,47
36025000020,52
36027000102,43
36027000106,43
36025000018,52
36027000105,43
36025000014,52
36027000028,43
36025000029,52
36027000027,43
36033000023,48
36033000025,48
36033000013,48
36033000018,48
36033000001,48
36033000038,48
36033000042,48
36033000005,48
36033000017,48
36033000002,48
36033000003,48
36033000008,48
36033000007,48
36033000014,48
36045000005,49
36033000040,48
36033000041,48
36033000033,48
36033000004,48
36121000007,63
36121000011,63
36121000005,63
36121000022,63
36121000039,63
36121000013,63
36121000029,63
36121000026,63
36121000020,63
36121000019,63
36121000003,63
36121000006,63
36121000002,63
36121000012,63
36121000030,63
36121000021,63
36121000037,63
36121000036,63
36121000016,63
36121000001,63
36121000031,63
36121000014,63
36121000038,63
36121000040,63
36121000017,63
36121000035,63
36121000024,63
36121000015,63
36121000033,63
36121000010,63
36121000009,63
36121000028,63
36121000025,63
36121000027,63
36121000008,63
36013000080,50
36013000046,50
36013000087,50
36013000088,50
36013000018,50
36013000077,50
36013000101,50
36013000009,50
36013000005,50
36013000003,50
36013000002,50
36013000036,50
36013000010,50
36013000047,50
36013000079,50
36013000078,50
36013000058,50
36013000062,50
36013000091,50
36013000045,50
36013000044,50
36013000019,50
36013000015,50
36013000086,50
36013000083,50
36013000012,50
36013000011,50
36013000013,50
36013000032,50
36013000065,50
36013000051,50
36013000014,50
36013000057,50
36013000061,50
36013000067,50
36013000001,50
36013000096,50
36013000095,50
36013000023,50
36013000054,50
36013000021,50
36013000074,50
36013000071,50
36013000024,50
36013000028,50
36013000027,50
36013000072,50
36013000068,50
36013000070,50
36013000007,50
36013000008,50
36029000359,62
36029000352,60
36029000343,60
36029000048,61
36029000046,60
36029000726,60
36029000778,60
36029000736,61
36029000710,61
36029000108,61
36029000629,62
36029000634,62
36029000578,62
